,Country,total_cases,,,,,,,,,,,,,
0,Afghanistan,1176,,,,,,,,,,,,,
1,Albania,634,,,,,,,,,,,,,
2,Algeria,2910,,,,,,,,,,,,,
3,Andorra,723,,,,,,,,,,,,,
4,Angola,24,,,,,,,,,,,,,
5,Antigua and Barbuda,24,,,,,,,,,,,,,
6,Argentina,3276,,,,,,,,,,,,,
7,Armenia,1523,,,,,,,,,,,,,
8,Austria,14924,,,,,,,,,,,,,
9,Azerbaijan,1518,,,,,,,,,,,,,
10,Bahamas,70,,,,,,,,,,,,,
11,Bahrain,2007,,,,,,,,,,,,,
12,Bangladesh,3772,,,,,,,,,,,,,
13,Barbados,76,,,,,,,,,,,,,
14,Belarus,7281,,,,,,,,,,,,,
15,Belgium,41889,,,,,,,,,,,,,
16,Belize,18,,,,,,,,,,,,,
17,Benin,54,,,,,,,,,,,,,
18,Bhutan,7,,,,,,,,,,,,,
19,Bolivia,672,,,,,,,,,,,,,
20,Bosnia and Herzegovina,1367,,,,,,,,,,,,,
21,Botswana,22,,,,,,,,,,,,,
22,Brazil,45757,,,,,,,,,,,,,
23,Brunei,138,,,,,,,,,,,,,
24,Bulgaria,1024,,,,,,,,,,,,,
25,Burkina Faso,609,,,,,,,,,,,,,
26,Burundi,11,,,,,,,,,,,,,
27,Cambodia,122,,,,,,,,,,,,,
28,Cameroon,1163,,,,,,,,,,,,,
29,Canada,40179,,,,,,,,,,,,,
30,Central African Republic,16,,,,,,,,,,,,,
31,Chad,34,,,,,,,,,,,,,
32,Chile,11296,,,,,,,,,,,,,
33,China,83876,,,,,,,,,,,,,
34,Colombia,4356,,,,,,,,,,,,,
35,Costa Rica,681,,,,,,,,,,,,,
36,Cote d'Ivoire,952,,,,,,,,,,,,,
37,Croatia,1950,,,,,,,,,,,,,
38,Cuba,1189,,,,,,,,,,,,,
39,Cyprus,790,,,,,,,,,,,,,
40,Denmark,7912,,,,,,,,,,,,,
41,Djibouti,974,,,,,,,,,,,,,
